time,position,velocity,energy
74.5,-61.5403,-78.2791,4957.41
75,-91.2115,-39.5633,4942.4
75.5,-98.551,8.83889,4895.21
76,-81.7617,55.077,4859.23
76.5,-44.9543,87.8304,4867.53
77,2.8595,99.0798,4912.49
77.5,49.9732,86.071,4952.77
78,84.8517,51.9891,4951.33
78.5,98.9555,5.17837,4909.5
79,88.8316,-42.9002,4865.74
79.5,56.9586,-80.4753,4860.28
80,11.1402,-98.3472,4898.14
80.5,-37.4058,-92.1403,4944.51
81,-76.7935,-63.3743,4956.77
81.5,-97.3795,-19.092,4923.63
82,-94.1236,29.8647,4875.57
82.5,-67.8229,71.5094,4856.77
83,-24.9169,95.6462,4884.52
83.5,24.0897,96.3654,4933.3
84,67.1983,73.491,4958.27
84.5,93.8544,32.6235,4936.47
85,97.5316,-16.2314,4887.94
85.5,77.3298,-61.1123,4857.3
86,38.1949,-91.0308,4872.73
86.5,-10.2915,-98.6617,4920.03
87,-56.2581,-82.1369,4955.72
87.5,-88.4508,-45.502,4946.98
88,-98.9876,2.27333,4901.86
88.5,-85.2888,49.4921,4861.83
89,-50.7084,84.5934,4863.69
89.5,-3.71275,98.9834,4905.75
90,44.1919,89.1387,4949.32
90.5,81.2768,57.4698,4954.35
91,98.4623,11.7303,4916.22
91.5,91.5409,-36.8812,4869.98
92,62.207,-76.4629,4858.14
92.5,17.6427,-97.3238,4891.6
93,-31.2412,-94.3565,4939.58
93.5,-72.4761,-68.2873,4957.98
94,-95.9664,-25.4991,4929.87
94.5,-95.9607,23.5322,4881.11
95,-72.4605,66.802,4856.52
95.5,-31.2194,93.7164,4878.7
96,17.6652,97.6857,4927.28
96.5,62.2248,77.7381,4957.57
97,91.5496,38.7576,4941.74
97.5,98.4599,-9.71218,4894.34
98,81.2637,-55.8041,4858.94
98.5,44.1714,-88.2332,4868.1
99,-3.73567,-99.0597,4913.39
99.5,-50.7281,-85.633,4953.17
100,-85.3005,-51.2403,4950.87
100.5,-98.9884,-4.30223,4908.6
101,-88.4404,43.6892,4865.23
101.5,-56.2392,80.984,4860.62
102,-10.2686,98.451,4899.03
102.5,38.216,91.8139,4945.13
103,77.3441,62.6975,4956.54
103.5,97.5356,18.2305,4922.77
104,93.847,-30.6999,4874.87
104.5,67.1814,-72.1139,4856.88
105,24.0674,-95.8719,4885.33
105.5,-24.9391,-96.1571,4934.07
106,-67.8396,-72.8997,4958.29
106.5,-94.1307,-31.7939,4935.72
107,-97.3753,17.0961,4887.11
107.5,-76.779,61.8004,4857.15
108,-37.3845,91.3739,4873.39
108.5,11.163,98.5758,4920.9
109,56.9774,81.6429,4955.99
109.5,88.8417,44.721,4946.41
110,98.9545,-3.15015,4900.96
110.5,84.8398,-50.25,4861.43
111,49.9534,-85.047,4864.16
111.5,2.83656,-99.0214,4906.65
112,-44.9747,-88.752,4949.82
112.5,-81.7746,-56.753,4953.99
113,-98.5532,-10.8588,4915.33
113.5,-91.2026,37.6939,4869.37
114,-61.5224,77.0179,4858.38
114.5,-16.7793,97.4852,4892.45
115,32.0719,94.0847,4940.27
115.5,73.0708,67.649,4957.87
116,96.1794,24.6505,4929.06
116.5,95.7399,-24.3833,4880.34
117,71.86,-67.4473,4856.5
117.5,30.3862,-93.9978,4879.45
118,-18.5271,-97.5343,4928.1
118.5,-62.9044,-77.1911,4957.72
119,-91.8805,-37.9488,4941.07
119.5,-98.3611,10.5847,4893.47
120,-80.7594,56.5267,4858.67
120.5,-43.385,88.629,4868.68
121,4.61156,99.0318,4914.28
121.5,51.479,85.1882,4953.56
122,85.7427,50.4875,4950.4
122.5,99.0135,3.42575,4907.7
123,88.0423,-44.4748,4864.73
123.5,55.5154,-81.4863,4860.99
124,9.39631,-98.5472,4899.92
124.5,-39.0233,-91.4802,4945.72
125,-77.8886,-62.0157,4956.3
125.5,-97.6841,-17.3677,4921.91
126,-93.5631,31.5327,4874.18
126.5,-66.5346,72.7127,4856.99
127,-23.2161,96.0901,4886.15
127.5,25.7865,95.9413,4934.84
128,68.4757,72.3027,4958.3
128.5,94.3996,30.9619,4934.97
129,97.2113,-17.9594,4886.29
129.5,76.2222,-62.4837,4857.02
